Authors,Author full names,Author(s) ID,Title,Link,Abstract,Publisher,title_key,source
"Adler, S.","Adler, Silvia (26034427100)",26034427100,Silent and semi-silent arguments in the graphic novel,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883745479&partnerID=40&md5=bcb6c4df0464c4d27232f622a2b0d916,"This study focuses on the iconographic channel of the graphic novel as a particular occurrence of silence. In Comics, images provide not only the data required for the development of narration; they also render available the concrete circumstances of the enunciation and often orient the reader towards the identification of language in action, or towards the selection of a particular communicative intention, a process which coincides with Saville-Troike's silences carrying illocutionary force and perlocutionary effect (1985), or with Kurzon's silences - intentional signifiers alternating with an utterable signified. Through the analysis of concrete scenes taken from three graphic novels dealing with sociopolitical contexts of conflict - Satrapi's Persepolis (2000), Folman and Polonsky's Waltz with Bashir (2009) and Sacco's Palestine (2007) - we identify two different sets of arguments: (1) semi-silent arguments resulting from the interplay between verbal and visual language & (2) silent arguments emerging within an entirely visual, extra-linguistic scene, where images alone regulate the quantity or the quality of information given at a certain point of narration with the aim of leading the addressee to a certain tacit conclusion.",International Pragmatics Association ann.verhaert@ipra.be,silent and semi-silent arguments in the graphic novel,"Scopus, WoS"
"Adrian, S.","Adrian, Schuckart (58889897700)",58889897700,Introduction to work with GenAI,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185223923&partnerID=40&md5=a82ef4b8258eaf9d0c7f6c659a9e6c20,"This paper provides an in-depth exploration of the practical applications and capabilities of generative AI technologies, specifically focusing on OpenAI’s GPT-3, DALL-E and ChatGPT. It targets individuals who are already acquainted with these technologies but may not fully grasp their extensive potential beyond common use cases. The paper emphasizes the relevance of these technologies across various interdisciplinary fields. Key topics include the strategies for effective prompt construction in text and image generation, the utility of ChatGPT in generating human-like conversational responses for diverse applications and the use of personas to better understand and apply AI in corporate and decision-making contexts. Furthermore, the paper discusses the latest advancements in generative AI, including GPT-4, ChatGPT plugins, enhanced data analysis features and the introduction of DALL-E 3, highlighting their impact on the overall utility and application of these technologies. © 2023 Copyright held by the owner/author(s). Publication rights licensed to ACM.",Association for Computing Machinery,introduction to work with genai,"Scopus, WoS"
"Aglietti, A.; Biagini, C.; Bongini, A.","Aglietti, Alberto (57200280686); Biagini, Carlo (57217318926); Bongini, Andrea (57225320951)",57200280686; 57217318926; 57225320951,Bridge Management System for Historic Infrastructural Heritage,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192160579&partnerID=40&md5=8e35fc49b829bffd6b0eb364a2e57bfc,"Aggressive environmental conditions and increasing traffic volume can cause significant deterioration to many bridges. Following some accidents, including the collapse of the Morandi bridge, in the 2020 Italian Government adopted “Guidelines on risk classification and management, safety assessment and monitoring of existing bridges”. In the last few years Bridge Management System (BMS) have been increasingly used by infrastructure owners, especially those systems, based on stochastic methods, which make it possible to define a condition ratio (CR) starting from periodic inspections of bridges, during which a specialist identifies defects and evaluates them according to specific guidelines. Various countries have developed their BMS, however most of them utilize a two-dimensional approach. A BIM model completed with information data is useful to manage a specific asset during its life cycle. The present study purposes the investigation of a possible BIM-Use for an infrastructure owner, precisely the monitoring of the degradation conditions of existing railway bridges. The functions of an existing software aimed at the above purposes have been implemented in a BIM environment. At the end of the process a maintenance technician can valorize each founded defect in a BIM environment, once all defects are been censued, and run the automatic computation of the two index that describe the bridge conditions. The new software features were implemented in a combination of Python code scripts developed in a visual programming language and linked to spreadsheets with many queries written in SQL language. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.",Springer Science and Business Media Deutschland GmbH,bridge management system for historic infrastructural heritage,Scopus
"Aguirre, J.; Cha, W.C.","Aguirre, Javier (58804608300); Cha, Won-chul (26030262900)",58804608300; 26030262900,JAVIS Chat: A Seamless Open-Source Multi-LLM/VLM Deployment System to Be Utilized in Single Computers and Hospital-Wide Systems with Real-Time User Feedback,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218635203&partnerID=40&md5=03b7c14a63de8c871e4a9f4bd9a74969,"The rapid advancement of large language models (LLMs) and vision-language models (VLMs) holds enormous promise across industries, including healthcare but hospitals face unique barriers, such as stringent privacy regulations, heterogeneous IT infrastructures, and limited customization. To address these challenges, we present the joint AI versatile implementation system chat (JAVIS chat), an open-source framework for deploying LLMs and VLMs within secure hospital networks. JAVIS features a modular architecture, real-time feedback mechanisms, customizable components, and scalable containerized workflows. It integrates Ray for distributed computing and vLLM for optimized model inference, delivering smooth scaling from single workstations to hospital-wide systems. JAVIS consistently demonstrates robust scalability and significantly reduces response times on legacy servers through Ray-managed multiple-instance models, operating seamlessly across diverse hardware configurations and enabling real-time departmental customization. By ensuring compliance with global data protection laws and operating solely within closed networks, JAVIS safeguards patient data while facilitating AI adoption in clinical workflows. This paradigm shift supports patient care and operational efficiency by bridging AI potential with clinical utility, with future developments including speech-to-text integration, further enhancing its versatility. © 2025 by the authors.",Multidisciplinary Digital Publishing Institute (MDPI),javis chat a seamless open-source multi-llmvlm deployment system to be utilized in single computers and hospital-wide systems with real-time user feedback,Scopus
"Ahmed, F.; Mahmud, M.S.; Yeasin, M.","Ahmed, Faruk (57196026885); Mahmud, Md Sultan (57195770993); Yeasin, Mohammed Tanvir (18039042000)",57196026885; 57195770993; 18039042000,Words to meaningful sentence: Analytics through game interface,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062841851&partnerID=40&md5=12cec7da5f69a7b41d285ec5848de33c,"In this work, we designed an experiment to discover the sentence making process followed by a human. To achieve the goal of meaningful sentence construction with a context by the computer, it requires an efficient algorithm. The computer can identify visual elements of a scene through the convolutional neural network. These visual elements are a few important words in a whole sentence. A human being constructs a meaningful sentence with such visual elements by incorporating connecting words which is not yet plausible by the computer. The typical generative deep models generate sentences which many times does not follow the context because the methods of sentence construction by a human (i.e., interpolation of connecting words) are less studied. This research is an attempt to have a better idea of the words interpolation. This will be useful to devise an efficient algorithm for image description generation especially for the useful application of visually impaired or blind people. © 2018 IEEE.",Institute of Electrical and Electronics Engineers Inc.,words to meaningful sentence analytics through game interface,"Scopus, WoS"
"Aish, R.; Fisher, A.; Orchard, D.; Torry, J.","Aish, Robert (6603318201); Fisher, Al (7403451520); Orchard, Dominic A. (25628491000); Torry, Jay (58058224400)",6603318201; 7403451520; 25628491000; 58058224400,Programming Languages for the Future of Design Computation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212585570&partnerID=40&md5=74023a383910b28d8588ba39980817a4,"Design Computation is the use of programming in the design of physical systems such as buildings and infrastructure. This involves embedding both general-purpose textual languages and domain-specific visual languages within geometry modelling and engineering applications in the construction industry. A unique form of entry-level end-user programming has emerged in Design Computation. However, there are significant usability and representational issues; general-purpose languages present barriers to adoption, whilst visual languages do not scale to complex design problems. In this essay, we explore how advances in programming language research could be harnessed in future Design Computation languages to address these pedagogic, representational and scaling issues so as to improve human readable program structure and semantics and to enable machine-readable program verification. © 2024 Owner/Author.","Association for Computing Machinery, Inc",programming languages for the future of design computation,Scopus
"Akoumianakis, D.; Vidakis, N.; Vellis, G.; Milolidakis, G.; Kotsalis, D.","Akoumianakis, Demosthenes (6602840354); Vidakis, Nikolas (55400158500); Vellis, George (7801439795); Milolidakis, Giannis (25641867800); Kotsalis, Dimitrios (25641203000)",6602840354; 55400158500; 7801439795; 25641867800; 25641203000,Interaction scenarios in the 'social' experience factory: assembling collaborative artefacts through component reuse and social interaction,https://www.scopus.com/inward/record.uri?eid=2-s2.0-62949087074&partnerID=40&md5=ffbc34981f5949a34bc98e379902c881,"This paper describes interaction scenarios in the context of community-based collaborative activities. We first present the notion of a 'social' experience factory (SEF) which underlies the conduct of collaborative work in the context of an electronic village of local interest on regional tourism. The SEF is biased towards building up experiences for reuse and facilitating the production of artefacts (information-based services) by assembling deposited 'shared' components. In its current formulation, the SEF implements techniques and tools for building visual domain-specific languages and constructing artefacts as instances of a corresponding family. The paper reports on the details of these techniques and illustrates their application in the construction, negotiation and tailoring of vacation packages in the domain of tourism.",,interaction scenarios in the 'social' experience factory assembling collaborative artefacts through component reuse and social interaction,Scopus
"Al-Abbas, M.B.M.; Al-Atoum, M.S.; Alsaggar, M.A.; Abu-Hammad, R.M.","Al-Abbas, Mohammed Baker Mohammed (57996220200); Al-Atoum, Monther Sameh (57222760036); Alsaggar, Mowafaq Ali (57222760814); Abu-Hammad, Rawan M. (58198060200)",57996220200; 57222760036; 57222760814; 58198060200,Aesthetics and Semiotics of Communication in Visual Language: A Multimodal Criticism on the Short Film of Ismail,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197178815&partnerID=40&md5=125e8c4e8d63146eb1000030b5756b8f,"—This conceptual paper aims to present a multimodal critique of the visual language in the short film Ismail. It analyses the social semiotics represented in the film's composition of image and language, which portrays a day story from the Palestinian visual artist Ismail Shammout (1930-2006) in the diaspora. From an aesthetic perspective, the research focuses on the social construction of an artist's identity through visual language. Such film transforms the artist's narrative into a communicational oeuvre in Arabic to represent an individual description of the Palestinian diaspora, which constructed one of the prominent grand narratives in the modern history of Arab Art. The main character in the film is Ismail, a Palestinian painter who performs his daily job as a candy seller in the streets. The argumentation in this critique depends on the aesthetic manifestations of the social semiotics of Arab Art in the film. Throughout the film's visual language, Ismail keeps representing his thoughts about the characteristics of Arab Art. He is a travelling aesthetician who walks through the desert and sells candy to strangers while talking to a younger kid escorting him through the film. The research's problem corresponds to the need for more investigation into language study, which this research advances to render. The methodology dedicated the aesthetic critique to produce aesthetic research on the film's visual language. Introducing an aesthetic review of visual language and connecting it with sociopolitical semiotics is significant. This research raises awareness of the importance of visual language knowledge in education systems. © 2024, Academy Publication. All rights reserved.",Academy Publication,aesthetics and semiotics of communication in visual language a multimodal criticism on the short film of ismail,Scopus
"Albanesi, M.G.; Benzi, E.A.; Ferretti, M.","Albanesi, Maria Grazia (6701502585); Benzi, Emanuele Alberto (60112013600); Ferretti, Marco (24463471500)",6701502585; 60112013600; 24463471500,"An XML General Framework for Image Annotation, Storing and Retrieval",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016843917&partnerID=40&md5=a1bb9603c6e24714047559fbda8b8bd8,"In this paper we describe a new framework based on XML for image characterization, description and storing for fast content-based retrieval. The novelty is mainly in the construction of a unified method for describing images and the related information extracted by means of a generic image processing algorithm. The XML description can be associated to well known image standards or to other customized application-dependent formats. On this level of image abstraction and description, a method for dynamic querying has been developed, which allows the semantic annotation of the image for a fast retrieval in the database. A prototype of the entire system for image description, storing and retrieval has been developed for GeoTIFF and DIG-35 image formats. © Proceedings of the IAPR Conference on Machine Vision Applications, MVA 2002. All rights reserved.","Machine Vision Applications, MVA",an xml general framework for image annotation storing and retrieval,Scopus
"Albao-Delgadillo, P.A.; Naranjo-Huera, V.L.","Albao-Delgadillo, Paola Andrea (59240422800); Naranjo-Huera, Vilma Lucía (58538905000)",59240422800; 58538905000,Cultural Configurations in the Discursivity of Brands in Bogotá’s Zona Rosa,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219037843&partnerID=40&md5=736b24a9bf95e6834f200e5abe9b939a,"The study of brands has been approached from a variety of theoretical standpoints, with particular emphasis placed on the processes involved in their construction, their historical significance, the visual language utilized by brands, and the symbolic potential inherent in their existence. A further area of investigation is the relationship between brands and the commercial architecture of an area, including the ways in which they are resemanticized in terms of local culture. The objective of this research is to examine the influence of cultural configurations on the visual discourse of brands in Bogotá’s Zona Rosa. To achieve this, a qualitative methodology was employed, comprising a field study of 20% of the 306 companies located in the Zona Rosa. The study was based on field diaries, complemented with photographic, auditory, and written evidence. The research findings demonstrate how cultural configurations affect the discursivity of the brands in the Zona Rosa of Bogotá and illustrate the interdependent relationship between them. © 2025 Common Ground Research Networks. All rights reserved.",Common Ground Research Networks,cultural configurations in the discursivity of brands in bogotás zona rosa,Scopus
"Aldama, F.L.","Aldama, Frederick Luis (26035098600)",26035098600,Graphing a Hemispheric History of Latinx Comics Creation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020120619&partnerID=40&md5=b5a46bb63bc4fb710d7fb7528c732983,"The chapter considers: (1) the importance of historical period as well as social and political contexts in the making, distribution, and consuming of comics by and about Latinx subjects and experiences of the hemispheric Americas; (2) the specific techniques (panel layout, perspective, coloring, bubble placement, font, and so on) used by Latinx comic book creators to give shape to the everyday lives, unique traditions, and representations of the very varied ethnoracial make-up of Latinx subjects within specifics of times and regions; (3) the construction of Latinx reader-viewers as co-creators of Latinx hemispheric visual-verbal narratives; (4) how these Latinx comics work within and radically resist mainstream comics; and (5) how Latinx comics can and do complicate, enrich, and make new reader-viewers’ perspective, thought, and feeling concerning the experiences Latinx subjects and experiences hailing from the hemispheric Americas. This chapter will provide readers with an analysis of the history of Latinx comics built out of Latin/x hemispheric idiomatic and shared visual and verbal narrative systems. It will provide a history of Latinx hemispheric cross-pollination that includes the physical transmigration of artists and their styles and worldviews from one place (region or country) to another. It will provide a critical history that understands Latin/x comics to be built out of the active participation of entities (creators and editors and translators) in the publishing and translating of comic books across Latin/x hemispheric time (history) and contexts (languages and cultures). © 2022 Cambridge University Press.",Cambridge University Press,graphing a hemispheric history of latinx comics creation,Scopus
"Ali, A.K.; Lee, O.J.; Song, H.","Ali, Ahmad Khairadeen (57208717944); Lee, One Jae (57216585066); Song, Hayub (36651652300)",57208717944; 57216585066; 36651652300,Robot-based facade spatial assembly optimization,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086703222&partnerID=40&md5=c054ad65ee013b418f94661b9d1b1229,"Robotic involvement in construction is still in its initial stages compared to other industries. Conventionally, the facade panel picking position is done manually by trial and error. The designer chooses a place to pick up a facade piece within reach of the robot arm, and then simulates the entire pick and place process in a digital model before applying to the assembly on the construction job site. After that the designer might detect errors, collisions, or singularities, which require the designer to modify the position of picking by changing the location or orientation of the module, thus repeating the simulation cycle until they reach a satisfactory result with no errors or collisions. This work is usually considered monotonous, inefficient, and time consuming. Therefore, this research proposes an optimization process implemented in design stage of construction project via static performance criteria in order to automatically search for the best picking location within the reach of the robot arm. The goal is to automate the process of robot location finding and solve the limitations of modular robot assembly simulation processes in order to allow for effective execution during the robotic construction implementation. The proposed approach, called iFobot, consists of three modules: Facade Generative Modeling (iFobot-D), Robot Position Optimization (iFobot-B), and Culminating Feedback to BIM (iFobot-L). Specifically, the scope of the paper is limited to the robot arm and facade picking and placing location finding processes. This research allows initial assessment of the possible assembly process as regards the dimensions of modules and hence the overall dimensions of the system, which subsequently influences assembly implementation in the construction job site. A set of generative algorithms were developed using commercially developed visual programming language that automatically populate facade modules on the building envelope, find the robot and facade assembly locations with their quantity take-off, and integrate the module with the BIM environment. A case study has been developed to validate and test the proposed system. The results prove that the system generates optimized locations for the robot arm workstations with the lowest possible collision and reachability rate while addressing robot operation time reduction, thus reducing risks encountered during facade assembly and increasing productivity. Moreover, the iFobot is predicted to influence decision making during the facade assembly process on a physical construction job site. © 2020 Elsevier Ltd",Elsevier Ltd,robot-based facade spatial assembly optimization,Scopus
